hjd,mag
7487.10851,14.352
7487.15316,14.381
7488.08402,14.349
7488.13009,14.369
7489.08833,14.347
7489.1429,14.325
7490.09299,14.317
7490.14287,14.345
7491.10183,14.333
7491.14637,14.345
7492.09788,14.332
7492.14254,14.329
7493.08768,14.301
7493.13224,14.312
7494.07853,14.249
7494.12305,14.253
7495.08107,14.261
7495.132,14.219
7496.07038,14.244
7496.12857,14.246
7497.08738,14.128
7497.13332,14.197
7498.05171,14.151
7498.09705,14.147
7499.08291,14.13
7499.12722,14.136
7500.06374,14.107
7500.10981,14.086
7501.04556,14.109
7501.09068,14.063
7502.05718,14.064
7502.10176,14.011
7503.05201,13.97
7503.09704,13.969
7507.052,13.821
7507.10306,13.821
7508.06492,13.836
7508.10949,13.828
7509.05578,13.845
7509.10756,13.845
7510.02696,13.894
7510.133,13.894
7511.03746,13.919
7511.08664,13.916
7512.04571,13.945
7512.09424,13.975
7513.02296,13.996
7513.07099,13.972
7515.01584,14.062
7515.0613,14.066
7516.01148,14.081
7516.05728,14.084
7517.02383,14.122
7517.06738,14.147
7519.03787,14.043
7519.08643,14.225
7520.0435,14.236
7520.08876,14.242
7521.0434,14.261
7521.08662,14.248
7523.07165,14.33
7524.03522,14.31
7524.09833,14.351
7525.01859,14.361
7526.01204,14.343
7526.05642,14.338
7527.01671,14.313
7527.06689,14.329
7527.991,14.394
7528.03633,14.385
7528.99387,14.355
7529.04237,14.366
7529.98302,14.405
7530.04071,14.382
7531.01853,14.385
7531.06626,14.379
7532.00326,14.401
7532.05044,14.384
7535.04956,14.443
7536.02554,14.455
7536.07443,14.47
7537.99101,14.479
7538.08469,14.486
7539.00898,14.446
7539.05273,14.444
7539.9602,14.506
7540.00871,14.485
7540.98542,14.469
7541.04198,14.403
7541.96196,14.444
7542.00789,14.41
7542.06003,14.462
7542.93527,14.491
7542.98363,14.472
7543.03653,14.479
7543.96897,14.467
7544.01829,14.486
7544.06575,14.518
7544.93661,14.476
7544.98619,14.475
7545.03042,14.567
7545.95084,14.475
7545.99996,14.473
7546.05699,14.482
7546.92194,14.476
7546.96876,14.487
7547.01321,14.471
7547.9614,14.484
7548.0054,14.481
7548.05292,14.473
7548.96767,14.477
7549.01237,14.493
7549.9602,14.473
7550.01204,14.474
7550.9472,14.479
7550.99245,14.48
7551.04254,14.488
7554.95809,14.505
7555.00463,14.527
7555.04803,14.545
7555.91872,14.51
7555.96214,14.513
7556.01446,14.14
7558.93143,14.481
7558.9779,14.494
7559.02576,14.5
7561.92647,14.49
7561.97638,14.515
7562.02517,14.522
7562.87951,14.513
7562.92785,14.524
7562.97369,14.5
7563.91465,14.504
7563.9586,14.536
7564.91142,14.483
7564.95522,14.513
7565.00558,14.488
7567.97641,14.525
7573.85458,14.529
7573.90519,14.495
7573.95188,14.528
7574.86655,14.549
7574.91364,14.5
7574.95902,14.536
7575.89645,14.149
7575.95229,14.496
7576.86702,14.519
7576.91398,14.503
7576.96283,14.496
7577.84306,14.525
7577.88959,14.523
7577.93648,14.518
